municipality,state,city
Benton CDP,CA,Benton
Benton Park CDP,CA,Benton Park
Berkeley city,CA,Berkeley
Bermuda Dunes CDP,CA,Bermuda Dunes
Berry Creek CDP,CA,Berry Creek
Bertsch-Oceanview CDP,CA,Bertsch-Oceanview
Bethel Island CDP,CA,Bethel Island
Beverly Hills city,CA,Beverly Hills
Bieber CDP,CA,Bieber
Big Bear City CDP,CA,Big Bear City
Big Bear Lake city,CA,Big Bear Lake
Big Bend CDP,CA,Big Bend
Big Creek CDP,CA,Big Creek
Biggs city,CA,Biggs
Big Lagoon CDP,CA,Big Lagoon
Big Pine CDP,CA,Big Pine
Big River CDP,CA,Big River
Biola CDP,CA,Biola
Bishop city,CA,Bishop
Blackhawk CDP,CA,Blackhawk
Blacklake CDP,CA,Blacklake
Black Point-Green Point CDP,CA,Black Point-Green Point
Blairsden CDP,CA,Blairsden
Bloomfield CDP,CA,Bloomfield
Bloomington CDP,CA,Bloomington
Blue Lake city,CA,Blue Lake
Bluewater CDP,CA,Bluewater
Blythe city,CA,Blythe
Bodega CDP,CA,Bodega
Bodega Bay CDP,CA,Bodega Bay
Bodfish CDP,CA,Bodfish
Bolinas CDP,CA,Bolinas
Bombay Beach CDP,CA,Bombay Beach
Bonadelle Ranchos CDP,CA,Bonadelle Ranchos
Bonita CDP,CA,Bonita
Bonny Doon CDP,CA,Bonny Doon
Bonsall CDP,CA,Bonsall
Boonville CDP,CA,Boonville
Bootjack CDP,CA,Bootjack
Boron CDP,CA,Boron
Boronda CDP,CA,Boronda
Borrego Springs CDP,CA,Borrego Springs
Bostonia CDP,CA,Bostonia
Boulder Creek CDP,CA,Boulder Creek
Boulevard CDP,CA,Boulevard
Bowles CDP,CA,Bowles
Boyes Hot Springs CDP,CA,Boyes Hot Springs
Bradbury city,CA,Bradbury
Bradley CDP,CA,Bradley
Brawley city,CA,Brawley
Brea city,CA,Brea
Brentwood city,CA,Brentwood
Bret Harte CDP,CA,Bret Harte
Bridgeport CDP,CA,Bridgeport
Brisbane city,CA,Brisbane
Broadmoor CDP,CA,Broadmoor
Brookdale CDP,CA,Brookdale
Brooks CDP,CA,Brooks
Brooktrails CDP,CA,Brooktrails
Buckhorn CDP,CA,Buckhorn
Buck Meadows CDP,CA,Buck Meadows
Bucks Lake CDP,CA,Bucks Lake
Buellton city,CA,Buellton
Buena Park city,CA,Buena Park
Buena Vista CDP,CA,Buena Vista
Burbank city,CA,Burbank
Burbank CDP,CA,Burbank
Burlingame city,CA,Burlingame
Burney CDP,CA,Burney
Burnt Ranch CDP,CA,Burnt Ranch
Butte Creek Canyon CDP,CA,Butte Creek Canyon
Butte Meadows CDP,CA,Butte Meadows
Butte Valley CDP,CA,Butte Valley
Buttonwillow CDP,CA,Buttonwillow
Byron CDP,CA,Byron
Bystrom CDP,CA,Bystrom
Cabazon CDP,CA,Cabazon
Calabasas city,CA,Calabasas
Calexico city,CA,Calexico
California City city,CA,California City
California Hot Springs CDP,CA,California Hot Springs
California Pines CDP,CA,California Pines
California Polytechnic State University CDP,CA,California Polytechnic State University
Calimesa city,CA,Calimesa
Calipatria city,CA,Calipatria
Calistoga city,CA,Calistoga
Callender CDP,CA,Callender
Calpella CDP,CA,Calpella
Calpine CDP,CA,Calpine
Calwa CDP,CA,Calwa
Camanche North Shore CDP,CA,Camanche North Shore
Camanche Village CDP,CA,Camanche Village
Camarillo city,CA,Camarillo
Cambria CDP,CA,Cambria
Cambrian Park CDP,CA,Cambrian Park
Cameron Park CDP,CA,Cameron Park
Camino CDP,CA,Camino
Camino Tassajara CDP,CA,Camino Tassajara
Campbell city,CA,Campbell
Camp Nelson CDP,CA,Camp Nelson
Campo CDP,CA,Campo
Camp Pendleton Mainside CDP,CA,Camp Pendleton Mainside
Camp Pendleton South CDP,CA,Camp Pendleton South
Camptonville CDP,CA,Camptonville
Canby CDP,CA,Canby
Cantua Creek CDP,CA,Cantua Creek
Canyondam CDP,CA,Canyondam
Canyon Lake city,CA,Canyon Lake
Capitola city,CA,Capitola
Caribou CDP,CA,Caribou
Carlsbad city,CA,Carlsbad
Carmel-by-the-Sea city,CA,Carmel-by-the-Sea
Carmel Valley Village CDP,CA,Carmel Valley Village
Carmet CDP,CA,Carmet
Carmichael CDP,CA,Carmichael
Carnelian Bay CDP,CA,Carnelian Bay
Carpinteria city,CA,Carpinteria
Carrick CDP,CA,Carrick
Carson city,CA,Carson
Cartago CDP,CA,Cartago
Caruthers CDP,CA,Caruthers
Casa Conejo CDP,CA,Casa Conejo
Casa de Oro-Mount Helix CDP,CA,Casa de Oro-Mount Helix
Casa Loma CDP,CA,Casa Loma
Casmalia CDP,CA,Casmalia
Caspar CDP,CA,Caspar
Cassel CDP,CA,Cassel
Castaic CDP,CA,Castaic
Castella CDP,CA,Castella
Castle Hill CDP,CA,Castle Hill
Castro Valley CDP,CA,Castro Valley
Castroville CDP,CA,Castroville
Cathedral City city,CA,Cathedral City
Catheys Valley CDP,CA,Catheys Valley
Cayucos CDP,CA,Cayucos
Cazadero CDP,CA,Cazadero
Cedar Flat CDP,CA,Cedar Flat
Cedar Ridge CDP,CA,Cedar Ridge
Cedar Slope CDP,CA,Cedar Slope
Cedarville CDP,CA,Cedarville
Centerville CDP,CA,Centerville
Centerville CDP,CA,Centerville
Ceres city,CA,Ceres
Cerritos city,CA,Cerritos
Chalfant CDP,CA,Chalfant
Challenge-Brownsville CDP,CA,Challenge-Brownsville
Channel Islands Beach CDP,CA,Channel Islands Beach
Charleston View CDP,CA,Charleston View
Charter Oak CDP,CA,Charter Oak
Cherokee CDP,CA,Cherokee
Cherokee Strip CDP,CA,Cherokee Strip
Cherryland CDP,CA,Cherryland
Cherry Valley CDP,CA,Cherry Valley
Chester CDP,CA,Chester
Chico city,CA,Chico
Chilcoot-Vinton CDP,CA,Chilcoot-Vinton
China Lake Acres CDP,CA,China Lake Acres
Chinese Camp CDP,CA,Chinese Camp
Chino city,CA,Chino
Chino Hills city,CA,Chino Hills
Choctaw Valley CDP,CA,Choctaw Valley
Chowchilla city,CA,Chowchilla
Chualar CDP,CA,Chualar
Chula Vista city,CA,Chula Vista
Citrus CDP,CA,Citrus
Citrus Heights city,CA,Citrus Heights
Claremont city,CA,Claremont
Clarksburg CDP,CA,Clarksburg
Clay CDP,CA,Clay
Clayton city,CA,Clayton
Clear Creek CDP,CA,Clear Creek
Clearlake city,CA,Clearlake
Clearlake Oaks CDP,CA,Clearlake Oaks
Clearlake Riviera CDP,CA,Clearlake Riviera
Cleone CDP,CA,Cleone
Clio CDP,CA,Clio
Clipper Mills CDP,CA,Clipper Mills
Cloverdale city,CA,Cloverdale
Clovis city,CA,Clovis
Clyde CDP,CA,Clyde
Coachella city,CA,Coachella
Coalinga city,CA,Coalinga
Coarsegold CDP,CA,Coarsegold
Cobb CDP,CA,Cobb
Coffee Creek CDP,CA,Coffee Creek
Cohasset CDP,CA,Cohasset
Cold Springs CDP,CA,Cold Springs
Cold Springs CDP,CA,Cold Springs
Coleville CDP,CA,Coleville
Colfax city,CA,Colfax
College City CDP,CA,College City
Collierville CDP,CA,Collierville
Colma town,CA,Colma
Coloma CDP,CA,Coloma
Colton city,CA,Colton
Columbia CDP,CA,Columbia
Colusa city,CA,Colusa
Commerce city,CA,Commerce
Comptche CDP,CA,Comptche
Compton city,CA,Compton
Concord city,CA,Concord
Concow CDP,CA,Concow
Contra Costa Centre CDP,CA,Contra Costa Centre
Copperopolis CDP,CA,Copperopolis
Corcoran city,CA,Corcoran
Corning city,CA,Corning
Corona city,CA,Corona
Coronado city,CA,Coronado
Coronita CDP,CA,Coronita
Corralitos CDP,CA,Corralitos
Corte Madera town,CA,Corte Madera
Costa Mesa city,CA,Costa Mesa
Cotati city,CA,Cotati
Coto de Caza CDP,CA,Coto de Caza
Cottonwood CDP,CA,Cottonwood
Cottonwood CDP,CA,Cottonwood
Coulterville CDP,CA,Coulterville
Country Club CDP,CA,Country Club
Courtland CDP,CA,Courtland
Covelo CDP,CA,Covelo
Covina city,CA,Covina
Cowan CDP,CA,Cowan
Crescent City city,CA,Crescent City
Crescent Mills CDP,CA,Crescent Mills
Cressey CDP,CA,Cressey
Crest CDP,CA,Crest
Crestline CDP,CA,Crestline
Creston CDP,CA,Creston
C-Road CDP,CA,C-Road
Crockett CDP,CA,Crockett
Cromberg CDP,CA,Cromberg
Crowley Lake CDP,CA,Crowley Lake
Crows Landing CDP,CA,Crows Landing
Cudahy city,CA,Cudahy
Culver City city,CA,Culver City
Cupertino city,CA,Cupertino
Cutler CDP,CA,Cutler
Cutten CDP,CA,Cutten
Cuyama CDP,CA,Cuyama
Cypress city,CA,Cypress
Dales CDP,CA,Dales
Daly City city,CA,Daly City
Dana Point city,CA,Dana Point
Danville town,CA,Danville
Daphnedale Park CDP,CA,Daphnedale Park
Darwin CDP,CA,Darwin
Davenport CDP,CA,Davenport
Davis city,CA,Davis
Day Valley CDP,CA,Day Valley
Deer Park CDP,CA,Deer Park
Del Aire CDP,CA,Del Aire
Delano city,CA,Delano
Del Dios CDP,CA,Del Dios
Delft Colony CDP,CA,Delft Colony
Delhi CDP,CA,Delhi
Delleker CDP,CA,Delleker
Del Mar city,CA,Del Mar
Del Monte Forest CDP,CA,Del Monte Forest
Del Rey CDP,CA,Del Rey
Del Rey Oaks city,CA,Del Rey Oaks
Del Rio CDP,CA,Del Rio
Denair CDP,CA,Denair
Derby Acres CDP,CA,Derby Acres
Descanso CDP,CA,Descanso
Desert Center CDP,CA,Desert Center
Desert Edge CDP,CA,Desert Edge
Desert Hot Springs city,CA,Desert Hot Springs
Desert Palms CDP,CA,Desert Palms
Desert Shores CDP,CA,Desert Shores
Desert View Highlands CDP,CA,Desert View Highlands
Diablo CDP,CA,Diablo
Diablo Grande CDP,CA,Diablo Grande
Diamond Bar city,CA,Diamond Bar
Diamond Springs CDP,CA,Diamond Springs
Di Giorgio CDP,CA,Di Giorgio
Dillon Beach CDP,CA,Dillon Beach
Dinuba city,CA,Dinuba
Discovery Bay CDP,CA,Discovery Bay
Dixon city,CA,Dixon
Dixon Lane-MeadowCreek CDP,CA,Dixon Lane-MeadowCreek
Dobbins CDP,CA,Dobbins
Dogtown CDP,CA,Dogtown
Dollar Point CDP,CA,Dollar Point
Dorrington CDP,CA,Dorrington
Dorris city,CA,Dorris
Dos Palos city,CA,Dos Palos
Dos Palos Y CDP,CA,Dos Palos Y
Douglas City CDP,CA,Douglas City
Downey city,CA,Downey
Downieville CDP,CA,Downieville
Doyle CDP,CA,Doyle
Drytown CDP,CA,Drytown
Duarte city,CA,Duarte
Dublin city,CA,Dublin
Ducor CDP,CA,Ducor
Dunnigan CDP,CA,Dunnigan
Dunsmuir city,CA,Dunsmuir
Durham CDP,CA,Durham
Dustin Acres CDP,CA,Dustin Acres
Dutch Flat CDP,CA,Dutch Flat
Eagleville CDP,CA,Eagleville
Earlimart CDP,CA,Earlimart
East Bakersfield CDP,CA,East Bakersfield
Eastern Goleta Valley CDP,CA,Eastern Goleta Valley
East Foothills CDP,CA,East Foothills
East Hemet CDP,CA,East Hemet
East Los Angeles CDP,CA,East Los Angeles
East Nicolaus CDP,CA,East Nicolaus
East Niles CDP,CA,East Niles
East Oakdale CDP,CA,East Oakdale
Easton CDP,CA,Easton
East Orosi CDP,CA,East Orosi
East Palo Alto city,CA,East Palo Alto
East Pasadena CDP,CA,East Pasadena
East Porterville CDP,CA,East Porterville
East Quincy CDP,CA,East Quincy
East Rancho Dominguez CDP,CA,East Rancho Dominguez
East Richmond Heights CDP,CA,East Richmond Heights
East San Gabriel CDP,CA,East San Gabriel
East Shore CDP,CA,East Shore
East Sonora CDP,CA,East Sonora
East Tulare Villa CDP,CA,East Tulare Villa
Eastvale city,CA,Eastvale
East Whittier CDP,CA,East Whittier
Edgewood CDP,CA,Edgewood
Edison CDP,CA,Edison
Edmundson Acres CDP,CA,Edmundson Acres
Edna CDP,CA,Edna
Edwards AFB CDP,CA,Edwards AFB
El Adobe CDP,CA,El Adobe
El Cajon city,CA,El Cajon
El Centro city,CA,El Centro
El Centro Naval Air Facility CDP,CA,El Centro Naval Air Facility
El Cerrito city,CA,El Cerrito
El Cerrito CDP,CA,El Cerrito
El Dorado Hills CDP,CA,El Dorado Hills
Eldridge CDP,CA,Eldridge
Elfin Forest CDP,CA,Elfin Forest
El Granada CDP,CA,El Granada
Elizabeth Lake CDP,CA,Elizabeth Lake
Elk Creek CDP,CA,Elk Creek
Elk Grove city,CA,Elk Grove
Elkhorn CDP,CA,Elkhorn
El Macero CDP,CA,El Macero
Elmira CDP,CA,Elmira
El Monte city,CA,El Monte
El Monte Mobile Village CDP,CA,El Monte Mobile Village
El Nido CDP,CA,El Nido
El Paso de Robles (Paso Robles) city,CA,El Paso de Robles (Paso Robles)
El Portal CDP,CA,El Portal
El Rancho CDP,CA,El Rancho
El Rio CDP,CA,El Rio
El Segundo city,CA,El Segundo
El Sobrante CDP,CA,El Sobrante
El Sobrante CDP,CA,El Sobrante
El Verano CDP,CA,El Verano
Elverta CDP,CA,Elverta
Emerald Lake Hills CDP,CA,Emerald Lake Hills
Emeryville city,CA,Emeryville
Empire CDP,CA,Empire
Encinitas city,CA,Encinitas
Escalon city,CA,Escalon
Escondido city,CA,Escondido
Esparto CDP,CA,Esparto
Etna city,CA,Etna
Eucalyptus Hills CDP,CA,Eucalyptus Hills
Eureka city,CA,Eureka
Exeter city,CA,Exeter
Fairbanks Ranch CDP,CA,Fairbanks Ranch
Fairfax CDP,CA,Fairfax
Fairfax town,CA,Fairfax
Fairfield city,CA,Fairfield
Fairhaven CDP,CA,Fairhaven
Fairmead CDP,CA,Fairmead
Fair Oaks CDP,CA,Fair Oaks
Fairview CDP,CA,Fairview
Fallbrook CDP,CA,Fallbrook
Fall River Mills CDP,CA,Fall River Mills
Farmersville city,CA,Farmersville
Farmington CDP,CA,Farmington
Fellows CDP,CA,Fellows
Felton CDP,CA,Felton
Ferndale city,CA,Ferndale
Fetters Hot Springs-Agua Caliente CDP,CA,Fetters Hot Springs-Agua Caliente
Fiddletown CDP,CA,Fiddletown
Fieldbrook CDP,CA,Fieldbrook
Fields Landing CDP,CA,Fields Landing
Fillmore city,CA,Fillmore
Firebaugh city,CA,Firebaugh
Fish Camp CDP,CA,Fish Camp
Florence-Graham CDP,CA,Florence-Graham
Florin CDP,CA,Florin
Floriston CDP,CA,Floriston
Flournoy CDP,CA,Flournoy
Folsom city,CA,Folsom
Fontana city,CA,Fontana
Foothill Farms CDP,CA,Foothill Farms
Forbestown CDP,CA,Forbestown
Ford City CDP,CA,Ford City
Foresta CDP,CA,Foresta
Foresthill CDP,CA,Foresthill
Forest Meadows CDP,CA,Forest Meadows
Forest Ranch CDP,CA,Forest Ranch
Forestville CDP,CA,Forestville
Fort Bidwell CDP,CA,Fort Bidwell
Fort Bragg city,CA,Fort Bragg
Fort Dick CDP,CA,Fort Dick
Fort Hunter Liggett CDP,CA,Fort Hunter Liggett
Fort Irwin CDP,CA,Fort Irwin
Fort Jones city,CA,Fort Jones
Fortuna city,CA,Fortuna
Fort Washington CDP,CA,Fort Washington
Foster City city,CA,Foster City
Fountain Valley city,CA,Fountain Valley
Fowler city,CA,Fowler
Franklin CDP,CA,Franklin
Franklin CDP,CA,Franklin
Frazier Park CDP,CA,Frazier Park
Freedom CDP,CA,Freedom
Freeport CDP,CA,Freeport
Fremont city,CA,Fremont
French Camp CDP,CA,French Camp
French Gulch CDP,CA,French Gulch
French Valley CDP,CA,French Valley
Fresno city,CA,Fresno
Friant CDP,CA,Friant
Fruitdale CDP,CA,Fruitdale
Fruitridge Pocket CDP,CA,Fruitridge Pocket
Fuller Acres CDP,CA,Fuller Acres
Fullerton city,CA,Fullerton
Fulton CDP,CA,Fulton
Furnace Creek CDP,CA,Furnace Creek
Galt city,CA,Galt
Garberville CDP,CA,Garberville
Gardena city,CA,Gardena
Garden Acres CDP,CA,Garden Acres
Garden Farms CDP,CA,Garden Farms
Garden Grove city,CA,Garden Grove
Garey CDP,CA,Garey
Garnet CDP,CA,Garnet
Gasquet CDP,CA,Gasquet
Gazelle CDP,CA,Gazelle
Georgetown CDP,CA,Georgetown
Gerber CDP,CA,Gerber
Geyserville CDP,CA,Geyserville
Gilroy city,CA,Gilroy
Glendale city,CA,Glendale
Glendora city,CA,Glendora
Glen Ellen CDP,CA,Glen Ellen
Glennville CDP,CA,Glennville
Golden Hills CDP,CA,Golden Hills
Gold Mountain CDP,CA,Gold Mountain
Gold River CDP,CA,Gold River
Goleta city,CA,Goleta
Gonzales city,CA,Gonzales
Good Hope CDP,CA,Good Hope
Goodmanville CDP,CA,Goodmanville
Goodyears Bar CDP,CA,Goodyears Bar
Goshen CDP,CA,Goshen
Graeagle CDP,CA,Graeagle
Grand Terrace city,CA,Grand Terrace
Grangeville CDP,CA,Grangeville
Granite Bay CDP,CA,Granite Bay
Granite Hills CDP,CA,Granite Hills
Graniteville CDP,CA,Graniteville
Grass Valley city,CA,Grass Valley
Graton CDP,CA,Graton
Grayson CDP,CA,Grayson
Greeley Hill CDP,CA,Greeley Hill
Greenacres CDP,CA,Greenacres
Green Acres CDP,CA,Green Acres
Greenfield CDP,CA,Greenfield
Greenfield city,CA,Greenfield
Greenhorn CDP,CA,Greenhorn
Green Valley CDP,CA,Green Valley
Green Valley CDP,CA,Green Valley
Greenview CDP,CA,Greenview
Greenville CDP,CA,Greenville
Grenada CDP,CA,Grenada
Gridley city,CA,Gridley
Grimes CDP,CA,Grimes
Grizzly Flats CDP,CA,Grizzly Flats
Groveland CDP,CA,Groveland
Grover Beach city,CA,Grover Beach
Guadalupe city,CA,Guadalupe
Guerneville CDP,CA,Guerneville
Guinda CDP,CA,Guinda
Gustine city,CA,Gustine
Hacienda Heights CDP,CA,Hacienda Heights
Half Moon Bay city,CA,Half Moon Bay
Hamilton Branch CDP,CA,Hamilton Branch
Hamilton City CDP,CA,Hamilton City
Hanford city,CA,Hanford
Happy Camp CDP,CA,Happy Camp
Happy Valley CDP,CA,Happy Valley
Harbison Canyon CDP,CA,Harbison Canyon
Hardwick CDP,CA,Hardwick
Harmony Grove CDP,CA,Harmony Grove
Hartland CDP,CA,Hartland
Hartley CDP,CA,Hartley
Hasley Canyon CDP,CA,Hasley Canyon
Hat Creek CDP,CA,Hat Creek
Hawaiian Gardens city,CA,Hawaiian Gardens
Hawthorne city,CA,Hawthorne
Hayfork CDP,CA,Hayfork
Hayward city,CA,Hayward
Healdsburg city,CA,Healdsburg
Heber CDP,CA,Heber
Hemet city,CA,Hemet
Herald CDP,CA,Herald
Hercules city,CA,Hercules
Herlong CDP,CA,Herlong
Hermosa Beach city,CA,Hermosa Beach
Hesperia city,CA,Hesperia
Hickman CDP,CA,Hickman
Hidden Hills city,CA,Hidden Hills
Hidden Meadows CDP,CA,Hidden Meadows
Hidden Valley Lake CDP,CA,Hidden Valley Lake
Highgrove CDP,CA,Highgrove
Highland city,CA,Highland
Highlands CDP,CA,Highlands
Hillcrest CDP,CA,Hillcrest
Hillsborough town,CA,Hillsborough
Hilmar-Irwin CDP,CA,Hilmar-Irwin
Hiouchi CDP,CA,Hiouchi
Hollister city,CA,Hollister
Holtville city,CA,Holtville
Home Garden CDP,CA,Home Garden
Home Gardens CDP,CA,Home Gardens
Homeland CDP,CA,Homeland
Homestead Valley CDP,CA,Homestead Valley
Homewood Canyon CDP,CA,Homewood Canyon
Honcut CDP,CA,Honcut
Hood CDP,CA,Hood
Hoopa CDP,CA,Hoopa
Hopland CDP,CA,Hopland
Hornbrook CDP,CA,Hornbrook
Hornitos CDP,CA,Hornitos
Hughson city,CA,Hughson
Humboldt Hill CDP,CA,Humboldt Hill
Huntington Beach city,CA,Huntington Beach
Huntington Park city,CA,Huntington Park
Huron city,CA,Huron
Hyampom CDP,CA,Hyampom
Hydesville CDP,CA,Hydesville
Hypericum CDP,CA,Hypericum
Idlewild CDP,CA,Idlewild
Idyllwild-Pine Cove CDP,CA,Idyllwild-Pine Cove
Igo CDP,CA,Igo
Imperial city,CA,Imperial
Imperial Beach city,CA,Imperial Beach
Independence CDP,CA,Independence
Indian Falls CDP,CA,Indian Falls
Indianola CDP,CA,Indianola
Indian Wells city,CA,Indian Wells
Indio city,CA,Indio
Indio Hills CDP,CA,Indio Hills
Industry city,CA,Industry
Inglewood city,CA,Inglewood
Interlaken CDP,CA,Interlaken
Inverness CDP,CA,Inverness
Inyokern CDP,CA,Inyokern
Ione city,CA,Ione
Iron Horse CDP,CA,Iron Horse
Irvine city,CA,Irvine
Irwindale city,CA,Irwindale
Isla Vista CDP,CA,Isla Vista
Isleton city,CA,Isleton
Ivanhoe CDP,CA,Ivanhoe
Jackson city,CA,Jackson
Jacumba CDP,CA,Jacumba
Jamestown CDP,CA,Jamestown
Jamul CDP,CA,Jamul
Janesville CDP,CA,Janesville
Jenner CDP,CA,Jenner
Johannesburg CDP,CA,Johannesburg
Johnson Park CDP,CA,Johnson Park
Johnstonville CDP,CA,Johnstonville
Johnsville CDP,CA,Johnsville
Jones Valley CDP,CA,Jones Valley
Joshua Tree CDP,CA,Joshua Tree
Jovista CDP,CA,Jovista
Julian CDP,CA,Julian
Junction City CDP,CA,Junction City
June Lake CDP,CA,June Lake
Jurupa Valley city,CA,Jurupa Valley
Keddie CDP,CA,Keddie
Keeler CDP,CA,Keeler
Keene CDP,CA,Keene
Kelly Ridge CDP,CA,Kelly Ridge
Kelseyville CDP,CA,Kelseyville
Kennedy CDP,CA,Kennedy
Kennedy Meadows CDP,CA,Kennedy Meadows
Kensington CDP,CA,Kensington
Kentfield CDP,CA,Kentfield
Kenwood CDP,CA,Kenwood
Kep'el CDP,CA,Kep'el
Kerman city,CA,Kerman
Kernville CDP,CA,Kernville
Keswick CDP,CA,Keswick
Kettleman City CDP,CA,Kettleman City
Keyes CDP,CA,Keyes
King City city,CA,King City
Kings Beach CDP,CA,Kings Beach
Kingsburg city,CA,Kingsburg
Kingvale CDP,CA,Kingvale
Kirkwood CDP,CA,Kirkwood
Klamath CDP,CA,Klamath
Knightsen CDP,CA,Knightsen
Knights Ferry CDP,CA,Knights Ferry
Knights Landing CDP,CA,Knights Landing
La Cañada Flintridge city,CA,La Cañada Flintridge
La Crescenta-Montrose CDP,CA,La Crescenta-Montrose
La Cresta CDP,CA,La Cresta
Ladera CDP,CA,Ladera
Ladera Heights CDP,CA,Ladera Heights
Ladera Ranch CDP,CA,Ladera Ranch
Lafayette city,CA,Lafayette
La Grange CDP,CA,La Grange
Laguna Beach city,CA,Laguna Beach
Laguna Hills city,CA,Laguna Hills
Laguna Niguel city,CA,Laguna Niguel
Laguna Woods city,CA,Laguna Woods
Lagunitas-Forest Knolls CDP,CA,Lagunitas-Forest Knolls
La Habra city,CA,La Habra
La Habra Heights city,CA,La Habra Heights
La Honda CDP,CA,La Honda
Lake Almanor Country Club CDP,CA,Lake Almanor Country Club
Lake Almanor Peninsula CDP,CA,Lake Almanor Peninsula
Lake Almanor West CDP,CA,Lake Almanor West
Lake Arrowhead CDP,CA,Lake Arrowhead
Lake California CDP,CA,Lake California
Lake City CDP,CA,Lake City
Lake Davis CDP,CA,Lake Davis
Lake Don Pedro CDP,CA,Lake Don Pedro
Lake Elsinore city,CA,Lake Elsinore
Lake Forest city,CA,Lake Forest
Lakehead CDP,CA,Lakehead
Lake Hughes CDP,CA,Lake Hughes
Lake Isabella CDP,CA,Lake Isabella
Lakeland Village CDP,CA,Lakeland Village
Lake Los Angeles CDP,CA,Lake Los Angeles
Lake Mathews CDP,CA,Lake Mathews
Lake Nacimiento CDP,CA,Lake Nacimiento
Lake of the Pines CDP,CA,Lake of the Pines
Lake of the Woods CDP,CA,Lake of the Woods
Lakeport city,CA,Lakeport
Lake Riverside CDP,CA,Lake Riverside
Lake San Marcos CDP,CA,Lake San Marcos
Lake Shastina CDP,CA,Lake Shastina
Lake Sherwood CDP,CA,Lake Sherwood
Lakeside CDP,CA,Lakeside
Lakeside CDP,CA,Lakeside
Lakeview CDP,CA,Lakeview
Lake Wildwood CDP,CA,Lake Wildwood
Lakewood city,CA,Lakewood
La Mesa city,CA,La Mesa
La Mirada city,CA,La Mirada
Lamont CDP,CA,Lamont
Lanare CDP,CA,Lanare
Lancaster city,CA,Lancaster
La Palma city,CA,La Palma
La Porte CDP,CA,La Porte
La Presa CDP,CA,La Presa
La Puente city,CA,La Puente
La Quinta city,CA,La Quinta
La Riviera CDP,CA,La Riviera
Larkfield-Wikiup CDP,CA,Larkfield-Wikiup
Larkspur city,CA,Larkspur
La Selva Beach CDP,CA,La Selva Beach
Las Flores CDP,CA,Las Flores
Las Flores CDP,CA,Las Flores
Las Lomas CDP,CA,Las Lomas
Lathrop city,CA,Lathrop
Laton CDP,CA,Laton
La Verne city,CA,La Verne
La Vina CDP,CA,La Vina
Lawndale city,CA,Lawndale
Laytonville CDP,CA,Laytonville
Lebec CDP,CA,Lebec
Lee Vining CDP,CA,Lee Vining
Leggett CDP,CA,Leggett
Le Grand CDP,CA,Le Grand
Lemon Cove CDP,CA,Lemon Cove
Lemon Grove city,CA,Lemon Grove
Lemon Hill CDP,CA,Lemon Hill
Lemoore city,CA,Lemoore
Lemoore Station CDP,CA,Lemoore Station
Lennox CDP,CA,Lennox
Lenwood CDP,CA,Lenwood
Leona Valley CDP,CA,Leona Valley
Lewiston CDP,CA,Lewiston
Lexington Hills CDP,CA,Lexington Hills
Likely CDP,CA,Likely
Lincoln city,CA,Lincoln
Lincoln Village CDP,CA,Lincoln Village
Linda CDP,CA,Linda
Lindcove CDP,CA,Lindcove
Linden CDP,CA,Linden
Lindsay city,CA,Lindsay
Linnell Camp CDP,CA,Linnell Camp
Litchfield CDP,CA,Litchfield
Little Grass Valley CDP,CA,Little Grass Valley
Little River CDP,CA,Little River
Littlerock CDP,CA,Littlerock
Little Valley CDP,CA,Little Valley
Live Oak CDP,CA,Live Oak
Live Oak city,CA,Live Oak
Livermore city,CA,Livermore
Livingston city,CA,Livingston
Lockeford CDP,CA,Lockeford
Lockwood CDP,CA,Lockwood
Lockwood CDP,CA,Lockwood
Lodi city,CA,Lodi
Lodoga CDP,CA,Lodoga
Loleta CDP,CA,Loleta
Loma Linda city,CA,Loma Linda
Loma Mar CDP,CA,Loma Mar
Loma Rica CDP,CA,Loma Rica
Lomita city,CA,Lomita
Lompico CDP,CA,Lompico
Lompoc city,CA,Lompoc
London CDP,CA,London
Lone Pine CDP,CA,Lone Pine
Long Barn CDP,CA,Long Barn
Long Beach city,CA,Long Beach
Lookout CDP,CA,Lookout
Loomis town,CA,Loomis
Los Alamitos city,CA,Los Alamitos
Los Alamos CDP,CA,Los Alamos
Los Altos city,CA,Los Altos
Los Altos Hills town,CA,Los Altos Hills
Los Angeles city,CA,Los Angeles
Los Banos city,CA,Los Banos
Los Berros CDP,CA,Los Berros
Los Gatos town,CA,Los Gatos
Los Molinos CDP,CA,Los Molinos
Los Olivos CDP,CA,Los Olivos
Los Osos CDP,CA,Los Osos
Los Ranchos CDP,CA,Los Ranchos
Lost Hills CDP,CA,Lost Hills
Lower Lake CDP,CA,Lower Lake
Loyalton city,CA,Loyalton
Loyola CDP,CA,Loyola
Lucas Valley-Marinwood CDP,CA,Lucas Valley-Marinwood
Lucerne CDP,CA,Lucerne
Lucerne Valley CDP,CA,Lucerne Valley
Lynwood city,CA,Lynwood
Lytle Creek CDP,CA,Lytle Creek
Mabie CDP,CA,Mabie
McArthur CDP,CA,McArthur
McClellan Park CDP,CA,McClellan Park
McClenney Tract CDP,CA,McClenney Tract
McCloud CDP,CA,McCloud
Macdoel CDP,CA,Macdoel
McFarland city,CA,McFarland
McGee Creek CDP,CA,McGee Creek
McKinleyville CDP,CA,McKinleyville
McKittrick CDP,CA,McKittrick
